ANNO;CODICE_MESE;NOME_MESE;CODICE_PRODOTTO;NOME_PRODOTTO;PREZZO;IVA;ACCISA;NETTO
1996;11;Novembre;6;O.C. fluido BTZ;406,38;64,88;143,03;198,47
1996;11;Novembre;7;O.C. ATZ;156,39;0,00;46,48;109,91
1996;11;Novembre;8;O.C. denso BTZ;151,35;0,00;23,24;128,11
1996;12;Dicembre;1;Benzina;936,32;149,50;527,96;258,86
1996;12;Dicembre;2;Diesel;759,52;121,27;386,04;252,22
1996;12;Dicembre;3;Gasolio riscaldamento;742,28;118,52;386,04;237,73
1996;12;Dicembre;5;GPL;0,00;0,00;0,00;0,00
1996;12;Dicembre;6;O.C. fluido BTZ;405,64;64,77;143,03;197,84
1996;12;Dicembre;7;O.C. ATZ;157,47;0,00;46,48;110,99
1996;12;Dicembre;8;O.C. denso BTZ;154,94;0,00;23,24;131,70
1996;13;Anno;1;Benzina;925,31;147,74;527,80;249,76
1996;13;Anno;2;Diesel;737,28;117,72;386,04;233,53
1996;13;Anno;3;Gasolio riscaldamento;719,70;114,91;386,04;218,75
1996;13;Anno;5;GPL;0,00;0,00;0,00;0,00
1996;13;Anno;6;O.C. fluido BTZ;394,35;62,96;148,80;182,59
1996;13;Anno;7;O.C. ATZ;152,74;0,00;46,48;106,26
1996;13;Anno;8;O.C. denso BTZ;148,01;0,00;23,24;124,77
1996;14;Primo Trimestre;1;Benzina;909,76;145,26;527,21;237,29
1996;14;Primo Trimestre;2;Diesel;729,60;116,49;386,04;227,07
1996;14;Primo Trimestre;3;Gasolio riscaldamento;695,75;111,09;386,04;198,62
1996;14;Primo Trimestre;5;GPL;0,00;0,00;0,00;0,00
1996;14;Primo Trimestre;6;O.C. fluido BTZ;385,35;61,53;158,05;165,77
1996;14;Primo Trimestre;8;O.C. denso BTZ;148,87;0,00;23,24;125,63
1996;15;Secondo Trimestre;1;Benzina;928,51;148,25;527,96;252,30
1996;15;Secondo Trimestre;2;Diesel;730,07;116,57;386,04;227,46
1996;15;Secondo Trimestre;3;Gasolio riscaldamento;699,84;111,74;386,04;202,06
1996;15;Secondo Trimestre;5;GPL;0,00;0,00;0,00;0,00
1996;15;Secondo Trimestre;6;O.C. fluido BTZ;394,02;62,91;143,03;188,08
1996;15;Secondo Trimestre;8;O.C. denso BTZ;148,43;0,00;23,24;125,19
1996;16;Terzo Trimestre;1;Benzina;925,70;147,80;527,96;249,94
1996;16;Terzo Trimestre;2;Diesel;723,50;115,51;386,04;221,95
